396, 822ABC, path uno395, elemnent 102, path dos 337, elemento 202
328, 350ABC, path uno187, elemnent 496, path dos 287, elemento 194
74, 391ABC, path uno9, elemnent 257, path dos 171, elemento 112
396, 763ABC, path uno357, elemnent 471, path dos 180, elemento 250
249, 385ABC, path uno128, elemnent 142, path dos 11, elemento 189
413, 35ABC, path uno348, elemnent 380, path dos 257, elemento 36
25, 134ABC, path uno92, elemnent 193, path dos 347, elemento 70
43, 369ABC, path uno13, elemnent 292, path dos 168, elemento 238
452, 181ABC, path uno399, elemnent 392, path dos 293, elemento 452
344, 793ABC, path uno37, elemnent 72, path dos 79, elemento 351
365, 893ABC, path uno405, elemnent 431, path dos 397, elemento 171
322, 652ABC, path uno103, elemnent 498, path dos 273, elemento 116
406, 9ABC, path uno126, elemnent 435, path dos 350, elemento 371
216, 209ABC, path uno116, elemnent 370, path dos 163, elemento 53
85, 977ABC, path uno437, elemnent 362, path dos 446, elemento 162
232, 907ABC, path uno68, elemnent 462, path dos 52, elemento 248
106, 771ABC, path uno242, elemnent 164, path dos 396, elemento 143
464, 819ABC, path uno119, elemnent 467, path dos 117, elemento 308
82, 683ABC, path uno245, elemnent 251, path dos 447, elemento 168
117, 720ABC, path uno490, elemnent 253, path dos 162, elemento 434
495, 89ABC, path uno443, elemnent 230, path dos 34, elemento 88
437, 928ABC, path uno195, elemnent 382, path dos 406, elemento 333
461, 108ABC, path uno170, elemnent 270, path dos 132, elemento 74
106, 955ABC, path uno81, elemnent 182, path dos 428, elemento 175
465, 198ABC, path uno487, elemnent 446, path dos 284, elemento 283
123, 86ABC, path uno11, elemnent 397, path dos 325, elemento 164
276, 307ABC, path uno287, elemnent 100, path dos 243, elemento 20
298, 354ABC, path uno448, elemnent 91, path dos 341, elemento 371
172, 412ABC, path uno445, elemnent 125, path dos 242, elemento 444
449, 146ABC, path uno419, elemnent 178, path dos 246, elemento 360
85, 414ABC, path uno149, elemnent 45, path dos 299, elemento 437
45, 891ABC, path uno460, elemnent 169, path dos 169, elemento 269
348, 452ABC, path uno246, elemnent 322, path dos 375, elemento 427
367, 245ABC, path uno351, elemnent 191, path dos 39, elemento 62
202, 421ABC, path uno346, elemnent 347, path dos 174, elemento 133
191, 270ABC, path uno139, elemnent 46, path dos 49, elemento 393
284, 517ABC, path uno228, elemnent 166, path dos 393, elemento 408
1, 212ABC, path uno474, elemnent 481, path dos 0, elemento 198
383, 187ABC, path uno371, elemnent 56, path dos 293, elemento 320
301, 136ABC, path uno423, elemnent 492, path dos 412, elemento 275
56, 461ABC, path uno336, elemnent 476, path dos 111, elemento 266
175, 960ABC, path uno322, elemnent 120, path dos 118, elemento 450
442, 197ABC, path uno231, elemnent 481, path dos 284, elemento 232
497, 594ABC, path uno32, elemnent 228, path dos 397, elemento 352
303, 581ABC, path uno188, elemnent 80, path dos 221, elemento 292
